"","hhidpn","wave","tot_finw","income","age","female","hi_school","college","married","if_child","empl","selfempl","socladder"
"28796",211672010,11,1.1272551,21832.6809811779,83.999996,1,1,0,0,1,0,0,9
"13865",60311020,15,1e+05,160000.02168326,85,1,0,1,1,1,0,0,9
"31103",500274020,9,37264.418,221398.646158526,50.999999,0,1,0,1,1,1,0,5
"8175",41059010,13,3235.0298,48465.0433122788,83.999996,0,1,0,1,1,0,0,5
"28167",210904010,9,56497.668,59844.2285640667,83.999996,0,1,0,0,1,0,0,4
"12518",53910010,12,273.31183,29622.6399859101,81.999998,1,1,0,0,1,0,0,6
"40487",528471020,11,5749.001,43286.5890596681,70.999999,0,1,0,0,1,0,0,7
"13981",60594010,12,49196.129,130293.264292044,73.000002,0,0,0,1,1,0,0,6
"33324",501130020,9,1.202078,90300.0632860101,55.999999,0,1,0,0,1,0,0,7
"4384",23701020,10,1.1869016,127824.597165957,71.999998,1,0,0,1,1,0,0,6
"30481",500032010,10,1.1869016,329056.653573151,55.999999,0,0,1,1,1,1,0,6
"39937",527008010,12,141575.53,102331.086385742,55,1,0,1,0,1,1,0,8
"16531",78509020,12,72154.32,123541.313589238,76.999998,1,1,0,1,1,0,0,5
"42594",900367010,12,1.0932473,18917.5450037639,59.000001,1,1,0,0,1,0,0,5
"12407",53725031,10,9495.2119,38968.3533137624,58.000002,1,1,0,1,1,0,0,6
"34313",501530010,10,81896.203,227932.621295489,60,0,0,1,1,1,1,0,5
"17283",81649010,11,110471,113600.244875032,76.999998,0,0,1,0,1,0,0,8
"641",12571020,11,9018.041,53367.1484364612,75.999999,1,0,1,0,1,0,0,8
"20154",119804010,11,1.1272551,36992.0170417625,70.999999,1,0,0,0,1,1,0,10
"3912",22333010,9,24642.6,84539.7721417107,76.999998,1,1,0,1,1,0,0,6
"38290",522593010,14,54626.047,354628.06188172,60.999999,0,0,1,1,1,1,0,6
"26791",205564020,13,318111.25,73766.299850911,93.000002,1,0,1,0,1,0,0,7
"45435",918670010,15,10000,176024.033089917,64.000001,0,1,0,1,0,1,0,6
"27727",210082011,12,1.0932473,1,58.000002,1,0,0,0,1,0,0,10
"27600",208233020,8,1148987.4,84770.9123683673,83.999996,0,0,1,1,1,0,0,8
"37419",502751010,13,14018.462,203116.64170255,65,1,1,0,1,1,1,0,4
"19605",113781020,8,121959.55,38810.7297126444,60.999999,1,1,0,1,1,0,0,7
"39326",525355010,12,45916.387,327143.272389954,56.999998,1,0,1,1,1,0,0,8
"41192",531173020,11,165706.5,313404.084588786,54.000001,0,1,0,1,1,0,1,7
"2825",19298020,14,376198.25,99176.1634889704,75.999999,1,0,1,0,1,0,0,8
"23878",175393010,12,16427.135,100780.433234298,66.999998,1,1,0,0,0,0,0,7
"1835",16404010,14,731782.88,360741.715236971,79.000001,0,0,1,1,1,0,0,9
"5603",33014010,12,251446.89,87809.5889526588,74.000001,0,0,1,0,0,0,1,8
"7313",38789010,10,41541.555,12903.9917043265,71.999998,1,1,0,0,0,1,0,6
"9631",45630022,8,1827501.6,221735.251308222,66.999998,1,0,1,1,1,0,0,8
"38558",523351010,11,7890.7856,1,54.000001,0,0,1,0,1,0,0,2
"33700",501271010,9,1.202078,238011.327810471,50,1,0,1,1,1,1,0,8
"6903",37435030,8,1412.1632,146094.753795568,54.000001,1,1,0,0,1,1,0,8
"2759",19050010,10,1.1869016,80956.1880251088,70.999999,0,0,0,0,1,1,0,4
"729",12852030,15,1,260000.074054915,63.000002,1,1,0,0,1,1,0,6
"2664",18758010,10,59345.078,59345.0595020924,69.000001,0,1,0,0,1,0,0,6
"5690",33301010,12,1.0932473,320102.752119738,74.000001,1,0,1,0,1,0,0,7
"18887",86777030,11,1803.6082,62224.472310268,69.000001,1,1,0,1,1,1,0,4
"37229",502675020,14,3128114.3,266740.084984154,60,1,0,1,0,1,0,0,9
"23738",173659010,9,77534.031,122107.137401798,60.999999,1,0,1,0,1,1,0,8
"10730",48914010,9,1.202078,23772.2883326679,74.000001,1,0,0,0,1,0,0,5
"25790",202772010,9,18031.17,69672.4204954313,91.000004,1,1,0,0,1,0,0,8
"43054",903444010,14,133.98842,67540.4829683544,58.000002,1,1,0,0,1,1,0,7
"36277",502295010,8,103344.67,396805.681648685,54.000001,0,0,1,1,1,1,0,5
"14360",64032010,10,1.1869016,13530.6719817216,73.000002,1,1,0,0,1,0,0,3
"29463",212499020,10,2442643.3,223422.346783422,81.000004,0,0,1,1,1,0,0,8
"20184",120078020,11,1.1272551,162954.831254579,70,0,0,0,1,1,1,0,5
"29963",213024020,8,9628.3857,63788.7169898275,76.999998,1,0,0,1,1,0,0,8
"2490",18166010,10,1.1869016,26577.0987789489,70,1,0,0,0,1,0,0,5
"20133",119376010,11,383266.72,124584.258515003,66.999998,0,0,1,0,0,0,0,6
"17350",81848020,8,692871.44,107059.960274149,68.000002,1,1,0,0,1,0,0,8
"2382",17715020,11,28181.377,156012.019541102,75.999999,1,0,0,1,1,1,0,8
"24821",187393010,14,20613.604,59391.9393801203,70.999999,1,1,0,0,1,0,0,7
"32720",500885020,13,1.0783433,280369.132096384,56.999998,1,1,0,1,1,1,0,5
"10963",49504010,8,57770.313,281344.089597671,65.999999,0,0,1,1,1,1,0,8
"33189",501078010,10,118690.16,290316.159943126,60,1,0,1,0,0,1,0,5
"33336",501133020,8,10912.17,154054.20135223,58.000002,0,1,0,1,1,1,0,7
"43064",903501010,11,11272.551,189895.131021583,58.000002,1,0,0,1,1,1,0,5
"319",11626011,15,200,23147.9972455604,70.999999,1,0,0,0,1,0,0,5
"13007",56041010,9,1.202078,19040.9141953674,66.999998,1,1,0,0,1,0,0,4
"1141",14234010,15,5000,90215.9663067958,81.999998,0,1,0,0,1,0,0,4
"39466",525764010,12,4372.9893,277684.727762974,58.000002,0,1,0,1,1,1,0,8
"23293",158154010,12,546.62366,22940.6914952269,65.999999,1,1,0,0,1,0,0,4
"8932",43787020,14,29889.725,109087.228941668,80,1,1,0,1,1,0,0,8
